runs_left,balls_left,wickets_left,total_runs_x,cur_run_rate,req_run_rate,result
14,5,7,184,8.869565217391305,16.8,0
13,4,7,184,8.844827586206897,19.5,0
9,3,7,184,8.974358974358974,18.0,0
5,2,7,184,9.101694915254235,15.0,0
5,1,6,184,9.025210084033612,30.0,0
0,119,6,184,1104.0,0.0,1
0,118,6,184,552.0,0.0,1
163,119,10,164,6.0,8.218487394957982,0
163,118,10,164,3.0,8.288135593220339,0
163,117,10,164,2.0,8.35897435897436,0
163,116,10,164,1.5,8.431034482758621,0
163,115,9,164,1.2,8.504347826086956,0
163,114,9,164,1.0,8.578947368421053,0
163,113,9,164,0.8571428571428571,8.654867256637168,0
162,112,9,164,1.5,8.678571428571429,0
162,111,9,164,1.3333333333333333,8.756756756756756,0
162,110,9,164,1.2,8.836363636363636,0
162,109,9,164,1.0909090909090908,8.917431192660551,0
161,108,9,164,1.5,8.944444444444445,0
160,107,9,164,1.8461538461538465,8.97196261682243,0
159,106,9,164,2.142857142857143,9.0,0
158,105,9,164,2.4,9.028571428571428,0
158,104,9,164,2.25,9.115384615384617,0
157,103,9,164,2.4705882352941178,9.145631067961164,0
157,102,9,164,2.333333333333333,9.235294117647058,0
157,101,9,164,2.210526315789474,9.326732673267326,0
156,100,9,164,2.4,9.36,0
155,99,9,164,2.571428571428572,9.393939393939394,0
149,98,9,164,4.090909090909091,9.122448979591836,0
145,97,9,164,4.956521739130435,8.969072164948454,0
144,96,9,164,5.0,9.0,0
143,95,9,164,5.04,9.031578947368422,0
142,94,9,164,5.076923076923077,9.063829787234043,0
141,93,9,164,5.111111111111111,9.096774193548388,0
137,92,9,164,5.785714285714286,8.934782608695652,0
133,91,9,164,6.413793103448276,8.76923076923077,0
132,90,9,164,6.4,8.8,0
132,89,9,164,6.193548387096774,8.898876404494382,0
131,88,9,164,6.1875,8.931818181818182,0
130,87,9,164,6.181818181818182,8.96551724137931,0
130,86,9,164,6.0,9.069767441860463,0
130,85,9,164,5.828571428571428,9.176470588235292,0
129,84,9,164,5.833333333333333,9.214285714285714,0
128,83,9,164,5.837837837837838,9.25301204819277,0
128,82,8,164,5.684210526315789,9.365853658536585,0
128,81,8,164,5.538461538461538,9.48148148148148,0
124,80,8,164,6.0,9.3,0
122,79,8,164,6.146341463414634,9.265822784810126,0
122,78,8,164,6.0,9.384615384615383,0
121,77,8,164,6.0,9.428571428571429,0
120,76,8,164,6.0,9.473684210526317,0
119,75,8,164,6.0,9.52,0
118,74,8,164,6.0,9.567567567567568,0
117,73,8,164,6.0,9.616438356164384,0
116,72,8,164,6.0,9.666666666666666,0
115,71,8,164,6.0,9.71830985915493,0
115,70,7,164,5.88,9.857142857142858,0
114,69,7,164,5.882352941176471,9.91304347826087,0
113,68,7,164,5.884615384615385,9.970588235294118,0
113,67,7,164,5.773584905660377,10.119402985074627,0
112,66,7,164,5.777777777777778,10.181818181818182,0
111,65,7,164,5.781818181818182,10.246153846153844,0
111,64,7,164,5.678571428571429,10.40625,0
110,65,7,164,5.890909090909091,10.153846153846152,0
110,64,7,164,5.785714285714286,10.3125,0
109,63,7,164,5.789473684210527,10.38095238095238,0
108,62,7,164,5.793103448275862,10.451612903225806,0
107,61,7,164,5.796610169491525,10.524590163934429,0
101,60,7,164,6.3,10.1,0
101,59,7,164,6.19672131147541,10.271186440677964,0
100,58,7,164,6.193548387096774,10.344827586206897,0
99,57,7,164,6.190476190476191,10.421052631578949,0
98,56,7,164,6.1875,10.5,0
97,55,7,164,6.184615384615385,10.581818181818182,0
93,54,7,164,6.454545454545454,10.333333333333334,0
93,53,7,164,6.358208955223881,10.528301886792454,0
93,53,7,164,6.358208955223881,10.528301886792454,0
93,52,6,164,6.264705882352941,10.73076923076923,0
92,51,6,164,6.260869565217392,10.823529411764708,0
91,50,6,164,6.257142857142857,10.92,0
90,49,6,164,6.253521126760563,11.020408163265309,0
89,48,6,164,6.25,11.125,0
88,47,6,164,6.2465753424657535,11.23404255319149,0
87,46,6,164,6.243243243243243,11.347826086956522,0
86,45,6,164,6.24,11.466666666666669,0
82,44,6,164,6.473684210526316,11.181818181818182,0
81,43,6,164,6.467532467532467,11.30232558139535,0
80,42,6,164,6.461538461538462,11.428571428571429,0
79,41,6,164,6.455696202531645,11.560975609756095,0
78,40,6,164,6.45,11.7,0
74,39,6,164,6.666666666666667,11.384615384615383,0
68,38,6,164,7.024390243902439,10.736842105263158,0
67,37,6,164,7.0120481927710845,10.864864864864863,0
66,36,6,164,7.0,11.0,0
66,35,6,164,6.91764705882353,11.314285714285717,0
65,34,6,164,6.906976744186046,11.470588235294118,0
64,33,6,164,6.896551724137931,11.636363636363637,0
58,32,6,164,7.227272727272727,10.875,0
57,31,6,164,7.213483146067416,11.03225806451613,0
56,30,6,164,7.2,11.2,0
54,29,6,164,7.252747252747253,11.172413793103448,0
48,28,6,164,7.565217391304348,10.285714285714286,0
47,27,6,164,7.548387096774194,10.444444444444445,0
46,26,6,164,7.531914893617022,10.615384615384617,0
45,25,6,164,7.515789473684211,10.8,0
41,24,6,164,7.6875,10.25,0
41,23,6,164,7.608247422680412,10.695652173913045,0
40,22,6,164,7.591836734693878,10.909090909090908,0
39,21,6,164,7.575757575757576,11.142857142857142,0
38,20,6,164,7.56,11.4,0
37,19,6,164,7.544554455445544,11.68421052631579,0
36,18,6,164,7.529411764705882,12.0,0
35,17,6,164,7.514563106796117,12.352941176470589,0
34,16,6,164,7.5,12.75,0
33,15,6,164,7.485714285714286,13.2,0
32,14,6,164,7.471698113207547,13.714285714285714,0
32,13,5,164,7.401869158878505,14.76923076923077,0
32,12,5,164,7.333333333333333,16.0,0
31,11,5,164,7.321100917431193,16.90909090909091,0
31,10,5,164,7.254545454545455,18.6,0
30,11,5,164,7.376146788990826,16.363636363636363,0
24,10,5,164,7.636363636363637,14.4,0
23,9,5,164,7.621621621621622,15.333333333333334,0
22,8,5,164,7.607142857142857,16.5,0
18,7,5,164,7.752212389380531,15.428571428571429,0
17,6,5,164,7.736842105263157,17.0,0
